# year, Ptot_c_result_anom
2037.6219178082192,-5.2824135
2037.704109589041,-4.418791
2037.7890410958903,-6.2378674
2037.8712328767124,-8.891958
2037.9561643835616,-8.32139
2038.041095890411,-4.50412
2038.1205479452055,-2.7474995
2038.2027397260274,-1.6490026
2038.2849315068493,-0.79608035
2038.3698630136987,-0.5431285
2038.4520547945206,-3.8852468
2038.5369863013698,-4.5162296
2038.6219178082192,-3.6210098
2038.704109589041,-4.957962
2038.7890410958903,-8.511391
2038.8712328767124,-8.409498
2038.9561643835616,-6.6134253
2039.041095890411,-3.898447
2039.1205479452055,-2.9931622
2039.2027397260274,-1.887059
2039.2849315068493,-0.30153728
2039.3698630136987,-0.3582635
2039.4520547945206,-3.684092
2039.5369863013698,-6.841871
2039.6219178082192,-11.153952
2039.704109589041,-14.990694
2039.7890410958903,-17.07112
2039.8712328767124,-16.126255
2039.9561643835616,-10.500738
2040.0409836065573,-5.15957
2040.122950819672,-3.0491486
2040.204918032787,-1.5709181
2040.2868852459017,0.6646085
2040.3715846994535,1.1169105
2040.4535519125684,-3.2152624
2040.5382513661202,-3.4195433
2040.622950819672,-5.3014345
2040.704918032787,-11.5894165
2040.7896174863388,-16.060038
2040.8715846994535,-14.527097
2040.9562841530055,-9.5926285
2041.041095890411,-5.060924
2041.1205479452055,-2.8609564
2041.2027397260274,-0.74818206
2041.2849315068493,0.9219785
2041.3698630136987,0.32441235
2041.4520547945206,-3.9051747
2041.5369863013698,-7.331189
2041.6219178082192,-9.544185
2041.704109589041,-9.819946
2041.7890410958903,-12.557123
2041.8712328767124,-11.644626
2041.9561643835616,-8.307894
2042.041095890411,-4.101969
2042.1205479452055,-2.4569545
2042.2027397260274,-0.76334906
2042.2849315068493,1.0849438
2042.3698630136987,0.3842106
2042.4520547945206,-3.8824534
2042.5369863013698,-7.3533626
2042.6219178082192,-10.7198715
2042.704109589041,-11.665369
2042.7890410958903,-8.988235
2042.8712328767124,-9.94098
2042.9561643835616,-7.416561
2043.041095890411,-4.6065054
2043.1205479452055,-2.6354623
2043.2027397260274,-0.959738
2043.2849315068493,0.33875084
2043.3698630136987,0.54382944
2043.4520547945206,-2.636561
2043.5369863013698,-5.72663
2043.6219178082192,-8.959165
2043.704109589041,-13.087239
2043.7890410958903,-12.441689
2043.8712328767124,-5.2528477
2043.9561643835616,-5.9134884
2044.0409836065573,-3.1762657
2044.122950819672,-2.010086
2044.204918032787,-1.1929739
2044.2868852459017,-0.6613958
2044.3715846994535,-0.29090405
2044.4535519125684,-3.5312057
2044.5382513661202,-7.080779
2044.622950819672,-9.436176
2044.704918032787,-8.6362915
2044.7896174863388,-9.9695835
2044.8715846994535,-8.222628
2044.9562841530055,-7.3441887
2045.041095890411,-3.7475781
2045.1205479452055,-2.4840002
2045.2027397260274,-1.341598
2045.2849315068493,-0.5354595
2045.3698630136987,-0.034450054
2045.4520547945206,-3.5392995
2045.5369863013698,-6.7146235
2045.6219178082192,-9.771283
2045.704109589041,-10.904961
2045.7890410958903,-14.620159
2045.8712328767124,-14.211952
2045.9561643835616,-9.89455
2046.041095890411,-4.984535
2046.1205479452055,-3.3851771
2046.2027397260274,-1.5445485
2046.2849315068493,0.3177855
2046.3698630136987,0.3699689
2046.4520547945206,-2.4060435
2046.5369863013698,-4.0345907
2046.6219178082192,-7.254204
2046.704109589041,-10.19603
2046.7890410958903,-12.848255
2046.8712328767124,-11.205193
2046.9561643835616,-8.2018585
2047.041095890411,-3.9523191
2047.1205479452055,-2.6608965
2047.2027397260274,-1.5680151
2047.2849315068493,-0.5244713
2047.3698630136987,-0.4584837
2047.4520547945206,-4.5199137
2047.5369863013698,-8.312424
2047.6219178082192,-10.807854
2047.704109589041,-9.92577
