# year, Ztot_c_result_anom
2045.041095890411,-3.210253
2045.1205479452055,-2.1034539
2045.2027397260274,-1.067032
2045.2849315068493,-0.7343783
2045.3698630136987,-0.8399074
2045.4520547945206,-1.7890396
2045.5369863013698,-3.6014462
2045.6219178082192,-6.529785
2045.704109589041,-8.321098
2045.7890410958903,-9.948614
2045.8712328767124,-10.461546
2045.9561643835616,-7.9911127
2046.041095890411,-4.8969374
2046.1205479452055,-3.1388884
2046.2027397260274,-1.8226044
2046.2849315068493,-1.0103087
2046.3698630136987,-1.0078346
2046.4520547945206,-1.9855773
2046.5369863013698,-3.5852594
2046.6219178082192,-5.7626657
2046.704109589041,-6.934649
2046.7890410958903,-8.651898
2046.8712328767124,-8.562983
2046.9561643835616,-6.4417725
2047.041095890411,-3.8035862
2047.1205479452055,-2.4799
2047.2027397260274,-1.625071
2047.2849315068493,-0.9834424
2047.3698630136987,-0.9714447
2047.4520547945206,-2.0927153
2047.5369863013698,-4.343679
2047.6219178082192,-7.482907
2047.704109589041,-7.8427777
2047.7890410958903,-9.214167
2047.8712328767124,-8.935936
2047.9561643835616,-6.210753
2048.0409836065573,-4.0674057
2048.122950819672,-2.5207407
2048.2049180327867,-1.5641056
2048.2868852459014,-0.57232594
2048.3715846994537,-0.2581653
2048.4535519125684,-1.1870736
2048.53825136612,-3.4814072
2048.622950819672,-6.3915606
2048.7049180327867,-7.578802
2048.789617486339,-9.059987
2048.8715846994537,-7.7830744
2048.9562841530055,-6.0978093
2049.041095890411,-4.268014
2049.1205479452055,-2.903902
2049.202739726027,-1.736706
2049.2849315068493,-0.99893826
2049.3698630136987,-0.9741631
2049.4520547945203,-2.2246957
2049.53698630137,-3.930122
2049.621917808219,-6.383592
2049.7041095890413,-7.194287
2049.7890410958903,-6.25235
2049.8712328767124,-6.692705
2049.956164383562,-5.1949124
2050.041095890411,-3.5508075
2050.1205479452055,-2.6863704
2050.202739726027,-1.6400273
2050.2849315068493,-0.8106561
2050.3698630136987,-0.7999786
2050.4520547945203,-1.8883083
2050.53698630137,-3.9100065
2050.621917808219,-5.939658
2050.7041095890413,-4.7594748
2050.7890410958903,-6.706751
2050.8712328767124,-8.326326
