# year, O3_c
1996.5792349726776,2137.2976
1996.5819672131147,2137.0288
1996.5846994535518,2135.9473
1996.5874316939892,2136.154
1996.5901639344263,2136.9976
1996.5928961748634,2137.216
1996.5956284153006,2137.515
1996.5983606557377,2137.904
1996.6010928961748,2138.374
1996.603825136612,2139.425
1996.6065573770493,2139.252
1996.6092896174864,2139.0479
1996.6120218579235,2139.6824
1996.6147540983607,2139.9497
1996.6174863387978,2139.7585
1996.620218579235,2140.465
1996.622950819672,2141.2737
1996.6256830601094,2141.4573
1996.6284153005465,2141.666
1996.6311475409836,2142.185
1996.6338797814208,2142.6394
1996.636612021858,2142.7166
1996.639344262295,2143.218
1996.6420765027322,2143.8162
1996.6448087431695,2144.1597
1996.6475409836066,2144.225
1996.6502732240438,2144.3071
1996.6530054644809,2144.6208
1996.655737704918,2144.7627
1996.6584699453551,2144.809
1996.6612021857923,2144.8103
1996.6639344262296,2145.514
1996.6666666666667,2145.8066
1996.6693989071039,2145.5366
1996.672131147541,2146.0432
1996.6748633879781,2146.2744
1996.6775956284152,2145.9055
1996.6803278688524,2146.1887
1996.6830601092897,2146.2295
1996.6857923497269,2146.1194
1996.688524590164,2146.5295
1996.691256830601,2145.8735
1996.6939890710382,2145.4663
1996.6967213114754,2145.7698
1996.6994535519125,2146.0679
1996.7021857923498,2146.0088
1996.704918032787,2145.68
1996.707650273224,2145.67
1996.7103825136612,2146.282
1996.7131147540983,2145.8982
1996.7158469945355,2145.4246
1996.7185792349726,2145.6714
1996.72131147541,2145.8784
1996.724043715847,2145.8347
1996.7267759562842,2145.9158
1996.7295081967213,2145.958
1996.7322404371585,2146.4297
1996.7349726775956,2146.6658
1996.7377049180327,2146.5437
1996.74043715847,2146.5425
1996.7431693989072,2146.674
1996.7459016393443,2146.7712
1996.7486338797814,2146.5134
1996.7513661202186,2146.2783
1996.7540983606557,2146.1675
1996.7568306010928,2146.8381
1996.75956284153,2147.2568
1996.7622950819673,2147.252
1996.7650273224044,2147.4648
1996.7677595628415,2147.8252
1996.7704918032787,2147.8901
1996.7732240437158,2148.319
1996.775956284153,2148.2295
1996.77868852459,2148.2366
1996.7814207650274,2148.8018
1996.7841530054645,2149.2256
1996.7868852459017,2148.9963
1996.7896174863388,2149.2556
1996.792349726776,2149.8733
1996.795081967213,2150.4321
1996.7978142076502,2150.507
1996.8005464480875,2150.8308
1996.8032786885246,2151.2717
1996.8060109289618,2151.9265
1996.808743169399,2152.1997
1996.811475409836,2152.604
1996.8142076502731,2153.002
1996.8169398907103,2153.4258
1996.8196721311476,2153.7664
1996.8224043715848,2153.4612
1996.8251366120219,2153.2847
1996.827868852459,2153.6716
1996.8306010928961,2153.2537
1996.8333333333333,2152.4504
1996.8360655737704,2152.18
1996.8387978142077,2152.3965
1996.8415300546449,2152.465
1996.844262295082,2151.578
1996.8469945355191,2151.0881
1996.8497267759562,2151.3013
1996.8524590163934,2151.4597
1996.8551912568305,2150.7185
1996.8579234972678,2149.8499
1996.860655737705,2150.0378
1996.863387978142,2149.8508
1996.8661202185792,2149.375
1996.8688524590164,2149.5493
1996.8715846994535,2149.6824
1996.8743169398906,2149.744
1996.877049180328,2148.8167
1996.879781420765,2148.0505
1996.8825136612022,2148.0896
1996.8852459016393,2147.9375
1996.8879781420765,2147.007
1996.8907103825136,2145.8052
1996.8934426229507,2144.9077
1996.896174863388,2145.2654
1996.8989071038252,2145.401
1996.9016393442623,2144.5364
1996.9043715846994,2143.2983
1996.9071038251366,2143.2595
1996.9098360655737,2143.6304
1996.9125683060108,2142.2944
1996.9153005464482,2140.6384
1996.9180327868853,2140.7651
1996.9207650273224,2140.7239
1996.9234972677596,2137.503
1996.9262295081967,2137.2415
1996.9289617486338,2138.3508
1996.931693989071,2137.947
1996.9344262295083,2136.6687
1996.9371584699454,2136.0933
1996.9398907103825,2134.7915
1996.9426229508197,2134.465
1996.9453551912568,2135.3264
1996.948087431694,2134.9463
1996.950819672131,2134.2312
1996.9535519125684,2134.0425
1996.9562841530055,2132.9612
1996.9590163934427,2131.9126
1996.9617486338798,2132.692
1996.964480874317,2133.2039
1996.967213114754,2132.7148
1996.9699453551912,2132.1885
1996.9726775956285,2131.8662
1996.9754098360656,2132.1423
1996.9781420765028,2132.2656
1996.98087431694,2131.789
1996.983606557377,2131.1333
1996.9863387978141,2131.677
1996.9890710382513,2130.6025
1996.9918032786886,2131.039
1996.9945355191257,2129.986
1996.9972677595629,2121.2622
1997.0,2118.0862
1997.0027397260274,2125.6226
1997.0054794520547,2132.6863
1997.0082191780823,2133.9463
1997.0109589041097,2131.3137
1997.013698630137,2131.7683
1997.0164383561644,2133.6963
1997.0191780821917,2133.257
1997.021917808219,2131.4573
1997.0246575342467,2131.4116
1997.027397260274,2132.4153
1997.0301369863014,2132.8972
1997.0328767123287,2133.005
1997.035616438356,2134.6248
1997.0383561643835,2134.764
1997.041095890411,2132.714
1997.0438356164384,2133.8704
1997.0465753424658,2135.9797
1997.0493150684931,2135.905
1997.0520547945205,2136.0374
1997.054794520548,2137.646
1997.0575342465754,2138.5327
1997.0602739726028,2138.4763
1997.0630136986301,2137.84
1997.0657534246575,2137.971
1997.0684931506848,2139.1277
1997.0712328767124,2139.9263
1997.0739726027398,2138.6064
1997.0767123287671,2137.8223
1997.0794520547945,2138.6125
1997.0821917808219,2142.9937
1997.0849315068492,2142.4058
1997.0876712328768,2140.288
1997.0904109589042,2142.9753
1997.0931506849315,2146.0393
1997.0958904109589,2146.3218
1997.0986301369862,2145.4807
1997.1013698630136,2145.8865
1997.1041095890412,2144.663
1997.1068493150685,2141.1548
1997.109589041096,2142.1912
1997.1123287671232,2141.8096
1997.1150684931506,2139.2302
1997.1178082191782,2140.008
1997.1205479452055,2141.6458
1997.123287671233,2142.4363
1997.1260273972603,2142.314
1997.1287671232876,2142.1355
1997.131506849315,2141.8225
1997.1342465753426,2141.5315
1997.13698630137,2141.884
1997.1397260273973,2141.8667
1997.1424657534246,2139.836
1997.145205479452,2138.403
1997.1479452054793,2134.4004
1997.150684931507,2136.5447
1997.1534246575343,2138.8538
1997.1561643835616,2139.9568
1997.158904109589,2137.3403
1997.1616438356164,2137.217
1997.164383561644,2134.935
1997.1671232876713,2132.7288
1997.1698630136987,2134.4102
1997.172602739726,2133.1257
1997.1753424657534,2135.9734
1997.1780821917807,2131.1028
1997.1808219178083,2127.3625
1997.1835616438357,2135.477
1997.186301369863,2135.6138
1997.1890410958904,2133.355
1997.1917808219177,2136.2441
1997.194520547945,2136.534
1997.1972602739727,2134.6282
1997.2,2135.5156
1997.2027397260274,2131.9585
1997.2054794520548,2136.7258
1997.2082191780821,2139.0037
1997.2109589041097,2139.0215
1997.213698630137,2137.5815
1997.2164383561644,2136.0945
1997.2191780821918,2137.2595
1997.2219178082191,2133.2546
1997.2246575342465,2137.3657
1997.227397260274,2139.9963
1997.2301369863014,2143.2476
1997.2328767123288,2144.5625
1997.2356164383561,2140.5405
1997.2383561643835,2137.2788
1997.2410958904109,2137.458
1997.2438356164384,2142.1482
1997.2465753424658,2141.7175
1997.2493150684932,2141.9385
1997.2520547945205,2146.7483
1997.2547945205479,2145.47
1997.2575342465752,2136.8147
1997.2602739726028,2140.43
1997.2630136986302,2144.201
1997.2657534246575,2144.528
1997.268493150685,2143.3335
1997.2712328767122,2142.2534
1997.2739726027398,2138.133
1997.2767123287672,2140.3481
1997.2794520547945,2145.2744
1997.282191780822,2145.9587
1997.2849315068493,2143.6218
1997.2876712328766,2141.6028
1997.2904109589042,2141.873
1997.2931506849316,2135.576
1997.295890410959,2131.2
1997.2986301369863,2139.0115
1997.3013698630136,2142.145
1997.304109589041,2141.72
1997.3068493150686,2140.8958
1997.309589041096,2138.8145
1997.3123287671233,2133.6663
1997.3150684931506,2131.637
1997.317808219178,2129.707
1997.3205479452056,2125.6538
1997.323287671233,2126.01
1997.3260273972603,2134.1702
1997.3287671232877,2135.0654
1997.331506849315,2134.6484
1997.3342465753424,2132.5881
1997.33698630137,2134.4255
1997.3397260273973,2135.6182
1997.3424657534247,2133.573
1997.345205479452,2132.869
1997.3479452054794,2133.245
1997.3506849315067,2133.0908
1997.3534246575343,2128.847
1997.3561643835617,2129.5776
1997.358904109589,2129.5933
1997.3616438356164,2129.6533
1997.3643835616438,2128.552
1997.3671232876711,2127.7612
1997.3698630136987,2127.1277
1997.372602739726,2126.899
1997.3753424657534,2125.413
1997.3780821917808,2124.6636
1997.3808219178081,2121.75
1997.3835616438357,2119.8901
